Analyte Name,Sample ID,Sample Type,Control Level,Patient ID,Expected Value,Result,Unit,Run Date,Instrument,Operator,Batch ID,QC Flag
WBC,C001,CONTROL,L1,,3.20,3.17,10^3/µL,2026-08-10,XN-1000,P. Iyer,CB-2026-08-C01,TRUE
WBC,C002,CONTROL,L2,,7.50,7.58,10^3/µL,2026-08-11,XN-550,K. Sharma,CB-2026-08-C02,TRUE
WBC,C003,CONTROL,L3,,15.40,15.42,10^3/µL,2026-08-12,XN-1000,P. Iyer,CB-2026-08-C03,TRUE
WBC,C004,CONTROL,L1,,3.20,3.24,10^3/µL,2026-08-13,XN-550,K. Sharma,CB-2026-08-C01,TRUE
WBC,C005,CONTROL,L2,,7.50,7.55,10^3/µL,2026-08-14,XN-1000,P. Iyer,CB-2026-08-C02,TRUE
WBC,C006,CONTROL,L3,,15.40,15.56,10^3/µL,2026-08-10,XN-550,K. Sharma,CB-2026-08-C03,TRUE
WBC,C007,CONTROL,L1,,3.20,3.22,10^3/µL,2026-08-11,XN-1000,P. Iyer,CB-2026-08-C01,TRUE
WBC,C008,CONTROL,L2,,7.50,7.60,10^3/µL,2026-08-12,XN-550,K. Sharma,CB-2026-08-C02,TRUE
WBC,C009,CONTROL,L3,,15.40,15.41,10^3/µL,2026-08-13,XN-1000,P. Iyer,CB-2026-08-C03,TRUE
WBC,C010,CONTROL,L1,,3.20,3.17,10^3/µL,2026-08-14,XN-550,K. Sharma,CB-2026-08-C01,TRUE
WBC,C011,CONTROL,L2,,7.50,7.54,10^3/µL,2026-08-10,XN-1000,P. Iyer,CB-2026-08-C02,TRUE
WBC,C012,CONTROL,L3,,15.40,15.59,10^3/µL,2026-08-11,XN-550,K. Sharma,CB-2026-08-C03,TRUE
WBC,C013,CONTROL,L1,,3.20,3.21,10^3/µL,2026-08-12,XN-1000,P. Iyer,CB-2026-08-C01,TRUE
WBC,C014,CONTROL,L2,,7.50,7.58,10^3/µL,2026-08-13,XN-550,K. Sharma,CB-2026-08-C02,TRUE
WBC,C015,CONTROL,L3,,15.40,15.38,10^3/µL,2026-08-14,XN-1000,P. Iyer,CB-2026-08-C03,TRUE
WBC,C016,CONTROL,L1,,3.20,3.22,10^3/µL,2026-08-10,XN-550,K. Sharma,CB-2026-08-C01,TRUE
WBC,C017,CONTROL,L2,,7.50,7.50,10^3/µL,2026-08-11,XN-1000,P. Iyer,CB-2026-08-C02,TRUE
WBC,C018,CONTROL,L3,,15.40,15.61,10^3/µL,2026-08-12,XN-550,K. Sharma,CB-2026-08-C03,TRUE
WBC,CAL001,CALIBRATION,L1,,3.00,2.98,10^3/µL,2026-08-10,XN-1000,K. Sharma,CB-2026-08-K01,TRUE
WBC,CAL002,CALIBRATION,L2,,8.00,7.93,10^3/µL,2026-08-11,XN-550,P. Iyer,CB-2026-08-K02,TRUE
WBC,CAL003,CALIBRATION,L3,,16.00,15.96,10^3/µL,2026-08-12,XN-1000,K. Sharma,CB-2026-08-K01,TRUE
WBC,CAL004,CALIBRATION,L1,,3.00,3.00,10^3/µL,2026-08-13,XN-550,P. Iyer,CB-2026-08-K02,TRUE
WBC,CAL005,CALIBRATION,L2,,8.00,8.96,10^3/µL,2026-08-10,XN-1000,K. Sharma,CB-2026-08-K01,TRUE
WBC,CAL006,CALIBRATION,L3,,16.00,16.12,10^3/µL,2026-08-11,XN-550,P. Iyer,CB-2026-08-K02,TRUE
WBC,CAL007,CALIBRATION,L1,,3.00,3.00,10^3/µL,2026-08-12,XN-1000,K. Sharma,CB-2026-08-K01,TRUE
WBC,CAL008,CALIBRATION,L2,,8.00,8.06,10^3/µL,2026-08-13,XN-550,P. Iyer,CB-2026-08-K02,TRUE
WBC,CAL009,CALIBRATION,L3,,16.00,15.86,10^3/µL,2026-08-10,XN-1000,K. Sharma,CB-2026-08-K01,TRUE
WBC,P0001,PATIENT,,PAT0001,,10.9,10^3/µL,2026-08-10,XN-1000,P. Iyer,CB-2026-08-P01,FALSE
