Analyte Name,Sample ID,Sample Type,Control Level,Patient ID,Expected Value,Result,Unit,Run Date,Instrument,Operator,Batch ID,QC Flag
Total Cholesterol,C001,CONTROL,L1,,120.0,118.6,mg/dL,2026-08-10,COBAS-501,A. Deshmukh,LP-2026-08-C01,TRUE
Total Cholesterol,C002,CONTROL,L2,,240.0,240.5,mg/dL,2026-08-11,COBAS-702,R. Patel,LP-2026-08-C02,TRUE
Total Cholesterol,C003,CONTROL,L1,,120.0,121.6,mg/dL,2026-08-12,COBAS-501,A. Deshmukh,LP-2026-08-C03,TRUE
Total Cholesterol,C004,CONTROL,L2,,240.0,236.8,mg/dL,2026-08-13,COBAS-702,R. Patel,LP-2026-08-C01,TRUE
Total Cholesterol,C005,CONTROL,L1,,120.0,120.0,mg/dL,2026-08-14,COBAS-501,A. Deshmukh,LP-2026-08-C02,TRUE
Total Cholesterol,C006,CONTROL,L2,,240.0,238.8,mg/dL,2026-08-10,COBAS-702,R. Patel,LP-2026-08-C03,TRUE
Total Cholesterol,C007,CONTROL,L1,,120.0,118.9,mg/dL,2026-08-11,COBAS-501,A. Deshmukh,LP-2026-08-C01,TRUE
Total Cholesterol,C008,CONTROL,L2,,240.0,271.2,mg/dL,2026-08-12,COBAS-702,R. Patel,LP-2026-08-C02,TRUE
Total Cholesterol,C009,CONTROL,L1,,120.0,119.4,mg/dL,2026-08-13,COBAS-501,A. Deshmukh,LP-2026-08-C03,TRUE
Total Cholesterol,C010,CONTROL,L2,,240.0,242.4,mg/dL,2026-08-14,COBAS-702,R. Patel,LP-2026-08-C01,TRUE
Total Cholesterol,C011,CONTROL,L1,,120.0,121.3,mg/dL,2026-08-10,COBAS-501,A. Deshmukh,LP-2026-08-C02,TRUE
Total Cholesterol,C012,CONTROL,L2,,240.0,238.7,mg/dL,2026-08-11,COBAS-702,R. Patel,LP-2026-08-C03,TRUE
Total Cholesterol,C013,CONTROL,L1,,120.0,118.9,mg/dL,2026-08-12,COBAS-501,A. Deshmukh,LP-2026-08-C01,TRUE
Total Cholesterol,C014,CONTROL,L2,,240.0,242.7,mg/dL,2026-08-13,COBAS-702,R. Patel,LP-2026-08-C02,TRUE
Total Cholesterol,C015,CONTROL,L1,,120.0,121.7,mg/dL,2026-08-14,COBAS-501,A. Deshmukh,LP-2026-08-C03,TRUE
Total Cholesterol,C016,CONTROL,L2,,240.0,242.2,mg/dL,2026-08-10,COBAS-702,R. Patel,LP-2026-08-C01,TRUE
Total Cholesterol,CAL001,CALIBRATION,L1,,100.0,100.8,mg/dL,2026-08-10,COBAS-501,R. Patel,LP-2026-08-K01,TRUE
Total Cholesterol,CAL002,CALIBRATION,L2,,200.0,198.2,mg/dL,2026-08-11,COBAS-702,A. Deshmukh,LP-2026-08-K02,TRUE
Total Cholesterol,CAL003,CALIBRATION,L3,,300.0,297.2,mg/dL,2026-08-12,COBAS-501,R. Patel,LP-2026-08-K01,TRUE
Total Cholesterol,CAL004,CALIBRATION,L1,,100.0,100.8,mg/dL,2026-08-13,COBAS-702,A. Deshmukh,LP-2026-08-K02,TRUE
Total Cholesterol,CAL005,CALIBRATION,L2,,200.0,201.8,mg/dL,2026-08-10,COBAS-501,R. Patel,LP-2026-08-K01,TRUE
Total Cholesterol,CAL006,CALIBRATION,L3,,300.0,342.0,mg/dL,2026-08-11,COBAS-702,A. Deshmukh,LP-2026-08-K02,TRUE
Total Cholesterol,CAL007,CALIBRATION,L1,,100.0,98.9,mg/dL,2026-08-12,COBAS-501,R. Patel,LP-2026-08-K01,TRUE
Total Cholesterol,CAL008,CALIBRATION,L2,,200.0,201.9,mg/dL,2026-08-13,COBAS-702,A. Deshmukh,LP-2026-08-K02,TRUE
Total Cholesterol,CAL009,CALIBRATION,L3,,300.0,301.5,mg/dL,2026-08-10,COBAS-501,R. Patel,LP-2026-08-K01,TRUE
Total Cholesterol,P0001,PATIENT,,PAT0001,,221,mg/dL,2026-08-10,COBAS-501,A. Deshmukh,LP-2026-08-P01,FALSE
Total Cholesterol,P0002,PATIENT,,PAT0002,,197,mg/dL,2026-08-11,COBAS-702,R. Patel,LP-2026-08-P02,TRUE
Total Cholesterol,P0003,PATIENT,,PAT0003,,201,mg/dL,2026-08-12,COBAS-501,A. Deshmukh,LP-2026-08-P03,TRUE
Total Cholesterol,P0004,PATIENT,,PAT0004,,204,mg/dL,2026-08-13,COBAS-702,R. Patel,LP-2026-08-P04,TRUE
Total Cholesterol,P0005,PATIENT,,PAT0005,,177,mg/dL,2026-08-14,COBAS-501,A. Deshmukh,LP-2026-08-P05,TRUE
Total Cholesterol,P0006,PATIENT,,PAT0006,,208,mg/dL,2026-08-15,COBAS-702,R. Patel,LP-2026-08-P06,TRUE
Total Cholesterol,P0007,PATIENT,,PAT0007,,205,mg/dL,2026-08-10,COBAS-501,A. Deshmukh,LP-2026-08-P07,TRUE
Total Cholesterol,P0008,PATIENT,,PAT0008,,194,mg/dL,2026-08-11,COBAS-702,R. Patel,LP-2026-08-P08,TRUE
Total Cholesterol,P0009,PATIENT,,PAT0009,,239,mg/dL,2026-08-12,COBAS-501,A. Deshmukh,LP-2026-08-P09,TRUE
Total Cholesterol,P0010,PATIENT,,PAT0010,,206,mg/dL,2026-08-13,COBAS-702,R. Patel,LP-2026-08-P10,TRUE
Total Cholesterol,P0011,PATIENT,,PAT0011,,146,mg/dL,2026-08-14,COBAS-501,A. Deshmukh,LP-2026-08-P11,TRUE
Total Cholesterol,P0012,PATIENT,,PAT0012,,250,mg/dL,2026-08-15,COBAS-702,R. Patel,LP-2026-08-P12,TRUE
Total Cholesterol,P0013,PATIENT,,PAT0013,,179,mg/dL,2026-08-10,COBAS-501,A. Deshmukh,LP-2026-08-P01,TRUE
Total Cholesterol,P0014,PATIENT,,PAT0014,,189,mg/dL,2026-08-11,COBAS-702,R. Patel,LP-2026-08-P02,TRUE
Total Cholesterol,P0015,PATIENT,,PAT0015,,160,mg/dL,2026-08-12,COBAS-501,A. Deshmukh,LP-2026-08-P03,TRUE
Total Cholesterol,P0016,PATIENT,,PAT0016,,191,mg/dL,2026-08-13,COBAS-702,R. Patel,LP-2026-08-P04,TRUE
Total Cholesterol,P0017,PATIENT,,PAT0017,,215,mg/dL,2026-08-14,COBAS-501,A. Deshmukh,LP-2026-08-P05,TRUE
